Sample_ID,empty_tin_mass_g,field_moist_plus_tin_mass_g,air_dry_plus_tin_mass_g,oven_dry_plus_tin_mass_g,od_notes,FM_mass_g,AD_mass_g,OD_mass_g,AD_Factor,OD_Factor,diff,FM_moisture_percent,AD_moisture_percent
DSC_092,2.91,8,7.65,7.58,,5.09,4.74,4.67,0.9312377210216111,0.9174852652259332,0.013752455795677854,8.99357601713062,1.498929336188443
DSC_093,2.9,7.9,7.54,7.5,,5,4.640000000000001,4.6,0.9280000000000002,0.9199999999999999,0.00800000000000023,8.695652173913052,0.8695652173913245
DSC_096,2.84,7.96,7.78,7.71,,5.12,4.94,4.87,0.9648437500000001,0.951171875,0.013671875000000111,5.133470225872689,1.437371663244359
DSC_097,2.92,58.08,55.08,54.66,,55.16,52.16,51.739999999999995,0.9456127628716461,0.9379985496736766,0.0076142131979695105,6.609972941631237,0.8117510630073478
DSC_098,3.04,50.77,46.44,45.88,,47.730000000000004,43.4,42.84,0.9092813743976533,0.8975487115021998,0.011732662895453494,11.414565826330533,1.3071895424836488
DSC_099,3,57.92,53.37,53.04,,54.92,50.37,50.04,0.9171522214129643,0.9111434814275309,0.006008739985433387,9.75219824140688,0.6594724220623467
DSC_100,2.89,57.97,54.43,54.03,,55.08,51.54,51.14,0.9357298474945533,0.9284676833696442,0.0072621641249090985,7.704341024638244,0.7821666014861138
DSC_101,2.9,53.19,49.25,49.07,,50.29,46.35,46.17,0.9216544044541659,0.9180751640485186,0.003579240405647277,8.923543426467397,0.38986354775828397
DSC_102,2.93,8,7.81,7.76,,5.07,4.879999999999999,4.83,0.9625246548323468,0.9526627218934911,0.009861932938855733,4.968944099378887,1.0351966873705785
DSC_103,2.83,7.93,7.66,7.48,* may have spilled oven-dry soil before weighing,5.1,4.83,4.65,0.9470588235294118,0.911764705882353,0.03529411764705881,9.677419354838694,3.8709677419354778
DSC_106,2.94,7.96,7.86,7.65,,5.02,4.92,4.710000000000001,0.9800796812749004,0.9382470119521915,0.041832669322708904,6.581740976645407,4.458598726114629
DSC_107,2.94,8,7.65,7.5,,5.0600000000000005,4.710000000000001,4.5600000000000005,0.9308300395256918,0.9011857707509882,0.029644268774703608,10.964912280701753,3.2894736842105337
DSC_108,2.92,8,7.8,7.72,,5.08,4.88,4.8,0.9606299212598425,0.9448818897637795,0.015748031496062964,5.833333333333339,1.6666666666666683
DSC_109,2.85,7.94,7.71,7.64,,5.09,4.859999999999999,4.789999999999999,0.9548133595284871,0.9410609037328093,0.013752455795677854,6.263048016701478,1.4613778705636804
DSC_110,2.93,7.96,7.69,7.65,,5.029999999999999,4.76,4.720000000000001,0.9463220675944335,0.9383697813121274,0.007952286282306043,6.567796610169463,0.8474576271186258
DSC_111,2.86,8,7.66,7.58,,5.140000000000001,4.800000000000001,4.720000000000001,0.933852140077821,0.9182879377431907,0.015564202334630295,8.89830508474576,1.6949152542372896
DSC_112,2.83,7.95,7.84,7.87,,5.12,5.01,5.04,0.9785156249999999,0.984375,-0.005859375000000111,1.5873015873015885,-0.5952380952381001
DSC_126,3.07,50.73,47.83,47.7,,47.66,44.76,44.63,0.9391523289970626,0.9364246747796896,0.0027276542173729768,6.789155276719681,0.2912838897602407
DSC_127,2.91,53.61,49.09,48.57,,50.7,46.18000000000001,45.66,0.9108481262327417,0.9005917159763313,0.010256410256410442,11.038107752956652,1.1388523872098342
DSC_128,3.13,53.08,48.06,47.56,,49.949999999999996,44.93,44.43,0.8994994994994996,0.8894894894894896,0.010010010010010006,12.424037812288985,1.1253657438667568
DSC_129,2.92,56.28,49,48.24,,53.36,46.08,45.32,0.8635682158920539,0.8493253373313343,0.014242878560719596,17.740511915269195,1.6769638128861386
DSC_130,2.9,50.91,47.86,47.41,,48.01,44.96,44.51,0.9364715684232452,0.9270985211414289,0.009373047281816316,7.863401482812852,1.0110087620759445
DSC_131,3,49.63,45.28,44.77,,46.63,42.28,41.77,0.9067124168989921,0.8957752519837014,0.01093716491529062,11.635144840794826,1.220971989466119
DSC_132,3,53.43,48.31,47.68,,50.43,45.31,44.68,0.8984731310727742,0.8859805671227444,0.012492563950029734,12.869292748433303,1.4100268576544372
