sieve_date,20260619,20260619,20260619,20260619,20260619,20260619,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260622,20260622,20260622,20260622,20260623,20260622,20260622,20260622,20260622,20260622,20260622,20260622,20260622,20260622,20260623,20260623,20260623,20260623,20260623,20260623,20260623,20260623
rock_photo_by,GB,LB,GDB,GDB,LB,GDB,EF,EF,AG,LB,SJS,N/A,EF,GDB,ND,SJS,SJS,LB,SJS,SJS,NJD,GDB,EF,EF,EF,SJS,EF,SJS,EF,EF,EF,GDB,GDB,SJS,GDB,15:50,SJS,SJS,SJS,GDB,SJS,SJS,SJS,LB,SJS,LB,EF,EF,ND,EF,EF,ND,LB
all_ROOTS_freeze_time,14:07,16:08,16:22,17:34,17:09,17:46,12:56,N/A,15:32,17:28,17:20,11:03,11:03,10:27,12:29,16:16,15:16,13:53,15:42,17:08,12:51,N/A,16:32,13:53,17:25,13:48,10:31,14:31,11:57,N/A,15:17,14:27,12:33,13:39,16:20,N/A,15:47,10:47,11:34,9:58,12:16,16:26,N/A,17:27,17:09,12.02,15:17,13:55,N/A,13:19,N/A,14:10,12:47
S_DNA_mass_g,46.92,51.84,49.04,67.1,66.32,55.78,51.98,39.98,49.94,48.33,47.07,N/A,54.43,42.32,54.56,61,46.36,58.36,47.29,61.3,38.26,66.64,62.18,63.74,54.89,55.49,36.36,62.63,36.44,68.52,52.51,51.96,55.31,74.85,50.91,N/A,50.09,44.5,54.56,54.5,63.37,53.48,68.7,56.04,57.63,69.03,66.31,60.61,64.16,56.24,68.67,53.08,57.97
RESP_IS_mass_g,59.42,60.7,64.07,62.54,58.69,57.44,57.03,75.77,60.28,60,54.5,52.16,57.39,54.94,61.27,67.91,62,66.2,65.37,73.7,61.19,61.72,62.1,64.6,56.25,61.34,61,63.07,60.68,68.29,54.81,53.85,68.07,64.95,66.32,N/A,64.35,62.63,60.57,59.63,64.32,66.76,60.91,65.63,66.08,61.07,56.22,61.27,75.11,59.61,65.08,72.67,60.6
S_pH_mass_g,11.22,10.76,11.16,12.46,10.41,10.52,11.51,12.56,11.33,11.08,10.1,10.13,11,10.54,11.74,12.63,10.96,10.96,11.25,12.65,10.74,11.21,11.2,11.78,10.95,11.45,11.59,11.2,10.76,11.97,10.45,11.11,12.03,11.21,11.68,N/A,10.96,11.54,10.94,10.86,11,11.37,12.39,12,12.54,11.5,11.36,11.46,11.36,11.25,12.49,11.87,11.27
everything_cool_time,14:12,16:14,16:24,17:36,17.12,17:50,13:04,14:05,15:39,5:31,17:25,11:24,11:13,10.3,12:33,16.18,15:19,13:55,15:47,17.08,12:56,10.24,16:37,13:55,17:30,13:48,10:33,14:35,11:58,14:27,15:20,14:30,12:36,13:40,16:30,N/A,13:53,10:50,11:37,10:02,12:20,16:28,14:43,17:30,17:13,12.02,15:22,13:57,15:15,13:23,12:34,14:14,12:47
small_tin_mass_full_g,55.45*,51.83,56.28,55.4,55.88,55.2,54.43,53.08,57.96,57.97,50.48,53.15,56.69,53.08,53.39,55.32,55.79,54.23,54.42,57.36,56.17,57.92,52.6,52.85,53.31,51.73,54,50.73,50.77,53.84,53.43,51.81,52.9,60.96,53.2,N/A,50.92,56.38,55.25,54.05,55.67,50.91,51.19,59.84,54.15,53.61,53.85,53.5,53.19,49.63,55.05,58.08,53.66
large_tin_mass_full_g,533*,422,2080,547,587,476,570,388,967,816,683,321,1422,1024,722,1145,633,2457,1809,440,2141,2625,1043,441,776,858,2223,485,2308,668,891,2271,1578,1369,2181,N/A,1939,933,544,649,652,509,1064,661,305,737,2422,484,1234,724,714,692,634
all_set_to_dry_time,14:16,16:19,16:33,17:38,17:14,17:53,13:09,14:07,15:42,5:34,17:29,11:28,11:28,10:35,12:35,16:21,15:22,13:58,15:51,17:11,12:58,10:27,16:42,1:57,17:32,13:51,10:38,14:38,12:04,14:31,15:25,14:34,12:39,13:42,16:32,15:50,15:58,10:51,1139,no_data,12:21,16.29,14:45,17:35,17:15,12.05,15:30,13:58,15:18,13:23,12:37,14:17,12:49
Notes_during_collection,"""*Spilled small tin at 18:00, unable to recover so we subsampled 55.4 g of soil from the large pie tin. To account for moisture, the large pie tin went from 533g to 528g. ; color change @ 22cm from top ; sieving - split into 2 sizes, Ef + GB after GB started ; soil aggregates often with textured surfaces looking like ectomycorrhiza tips, but they crumble to the touch. EF and GB think they are mineral formations""","""There was a plum-sized rock in the removed soil (possibly relevant for bulk density) ; No horizonation evident ; No roots-D""","""Horizon changes at 17, 32, 45, & 56cm. ""sediment""""",Probable horizon @ 20.5cm - texture change ; start 4:45pm end 5:39pm,"removed soil container : 24.11 ; No horizonation ; one sieve wet around edges, leaving very small amount of dampened soil in sieve ; single woody root, do herbaceous or dead",Emptey removed soil container : 23g ; captured transition @ 22cm from BC horizon to sap rock,"looking up, seems soap 50-100? ; no horizon but huge chunk of wood at top of core kept in LROOT; Lroot frozen at 17:40","Spilled some outside of bin, was 12.3g included in the total removed soil mass ; linar cutter only cut down one side of tube leading to spill ; no roots in sample ; soil was verry sandy","""Total burrow mass: 1146"" ; ""Total non-burrow mass: 1616"" ; ""Deeper material in L sieve, burrow and some soil in R sieve"" ; ""Putative animal burrow (loose material, bits of grass)"" ; ""Change from orange to red brown 18.4cm from top. Trimming darker ""slough"" (darker soil) from 3 cm as part of default trim"" ; "" 2.5 cm slough, then 7.5cm of powdered material, then firm layer (3cm deep), then 6.7cm of soft dirt (burrow?), then remainder of sample is firm deeper soil (pinkish color)"" ; ""Lroots frozen at 17:40""",Color & texture change at 11cm,"""Lroot weighed in bag"" ;  large tin seperated into two 389 + 294","Lots of notes, see YZ_SAMPLE_DATA_20260620.pdf pg 11-12 ","""6cm - abrupt color change dark --> light"" ; ""19cm - abrupt texture change prismatic clay --> fine granular"" ; ""42cm - abrupt color change light --> dark"" ; ""62cm - transition to lighter subsoil","""Possible horizon change @ 11cm - unsure"" ; ""many dead roots, extra soil on roots maya lead to extra large volume"" ; ""no herbaceous roots""","""No horizonation"" ; ""lost of mica"" ; ""hard to tell what is dead root and what is decaying peices of wood""","""5-10ft (7.5ft refusal) in small bag U-Z"" ; paralithic contact @ 29.5cm -13.88 = 54.90","""Lroot weighed in bag"" ; ""@ 20cm shift to large ??? structure"" ","""At 67cm becomes saturated and soupy"" ; ""dead roots only""","""Horizon at 34cm from darker clay to lighter and coverd in burrow. Burrow mass = 84.85g"" ; ""Found texture/color boundry in a chocnk of soil in seive. Unknown deapth""","""Unknown which sieve set went with animal burrow"" ; ""total sieve mass = 1385 + 1115. 1115<-- this mass belongs to sieve with burrow"" ; ""5-10ft shoe refused @ 6.5ft in bag"";  ""horizon change at 19cm from sand to white ash"" ; ""horizon change from dark to light sand at 8cm, then back to darker sand at 14cm"" ; ""Seems to be an animal burrow with a variety of woody debi's - roots, straw, burrs"" ; ""lots of plant seeds in with Roots 'W'""","""L-root weighed in bag"" ; ""large root visible ~20cm from the bottom"" ; ""sample coated in powdery dark burrow, scraped burrow off and weighed separatley"" ; ""total burrow : 82.13g dried separatley NOT HOMOGENIZED"" ; ""many tiny clusters of decaying fine roots/mycorrhiza. Captured in ""woody"" roots, some in ""dead"" w/large exterior""","""Small piece of PVC embedded at deep end of sample from geoprobe. Part of shoe? photo by GB"" ; ""subsoil to 23cm, then sap rock to 46cm. 46-50cm pocket of soil, then sap rock again."" ; ""No roots""","""Powdery layer of surface soil coating ouside of sample, diferent color and contained grass seeds"" ; ""powdery brown organic material + top soil at 40.5cm, below is grainy dirt more yellow in color, [below] 45.6 cm [from the top] is darker in color and very dense"" ; ""1043-816g of loose topsoil.""","""Gray rock / sand all the way though with brown spots and some roots""","""Firmer on top 3-6cm"" ; ""diagonal horizon from light to dark"" ; ""Darker surface soil coating outside of sample contains organic mater and grass seeds""","""Color and texture change""","""Horizon change at 38cm""","""horizon change at 20 cm"" ; "" Lroot weighed in bag in cup""","""48cm horizon from dark + fine to corse + light""","""Gray rock/sand all throughout""",,"""Bin + gopher only = 700g"" ; ""Bin + all soil = 2951g"" ; gopher material from 19-28cm ; weighed separately then homogenized","""Varried sub soil horizon"" ; ""high clay goes from 34cm to 57cm"" ; ""bounded onboth sides by verry large woody root"" ; ""total wet mass with side included soil from sample, shoe, bin, and root""",removed soil mass weighed on large scale ; PVC cutting component stuck in tube ; small amount of surface material coating top layer at 9cm from surface; leaving surface soil coating in the removed soil ; 63cm horizon transition apparent,"""Sample split into two 400-453 & 454-505"" ; ""shallower sample- 46cm, deeper sample- 52cm"" ; large tin masses for shallow sample - 412+471 ; large tin masses for deeper sample - 651+657 ; ""No noticeable horizon changes, all yellowish sandy material""","""The shoe was originaly labeld as DSC 015 determined with photography to have been one of the shoes for DSC 017"" ; ""sieving for roots, recording bulk density, air drying remainder to recover later if desired"" ; ""One large dead root, nothing else, saprock material""","""2 segments 2 shoes, one segment exploded in ziplock"" ; ""capped sample = 46.2cm / cut sample = 23.6cm"" ; Big root at 22cm, paralythic contact at 28cm",,"""worm found in sample, lots of bark? Lots of fine roots.""","""Dark clay until 18cm, loos until 26.5cm, then more clay""","""Worms present, small""",,,,"""Seems to be burrow material?"" ; """"burrow"" to 15cm then sollid rock""","""Material a bit narrower than sleeve, some empty space visible (maybe relevant for bulk density)"" ; ""Darker inside sample than outside, no horizons, lots of dead roots collected, only 1 woody root""","""Gradual shift from more red to more yellow"" ; ""sample fully coated in surface soil / burrow material but no pure burrow material found"" ; ""25 grams of burrow material removed from sample, then homogenized with the rest""","""All surface soil, possibly animal burrow, brown powdery with grass seeds. Gradualy dencer from 50-->100 cm""","""Shoe is missing",";No horizon, gradualy gets dencer from top to bottom;",,,
Notes_during_transcription,,,,,Unclear weather or not the removed soil mass was teared or includes the weight of the container. Norbaya remembers not taring the weight of the container,Unclear weather or not the removed soil mass was teared or includes the weight of the container. Norbaya remembers not taring the weight of the container,Two weights are listed for each sive but only one weight is listed for the total wet mass. Unsure which sive was used but Im asumming it was the lighter one because it was the first to be written down. Evan placed the L-roots of those sample in the fridge instead of the freezer. This was corrected at 17:40,,"Evan misplaced L-roots in fridge, frozen at 17:40",,,"DSC_16 was sepparated into two sections DSC_016a: ""subsoil"" 6-19 &47+ and DSC_016b: putative burrow 19-47",,,,"Unsure why ""-13.88 = 54.9"" is written next to removed soil.",,,,,,,"""loose topsoil"" is synonymous with burrow material ; unsure what ""1043-816g means. Most likley 816g is the weight of the sieve, so subtracting it from 1043 would result in the mass of just the burrow material",,"""This sample was coated in burrow material but processed as if it were just a regular soil sample.""","""Does not specify where nor in what way the color and texture change was present""",,,"Unsure what ""xtra colm from tube + shoe seg 2"" means. I think sample 98 was split into two subsamples in diferent casings, each whith their own shoe, they were mixed and processed as one",,"""no notes provided, check image of sample for additional information""",,"To reiterate, large mass of wood, possibly root tissue encapsulated a section of gray/white soil in brown soil on either end.",,"Two subsamples in their own case with their own shoe processed together. One of these shoes was mislabled and processed as a seperate sample the folowing day, see SDC_17-SHOE",,"Unclear why the cut sample was so much shorter than the capped one, also what became of the exploded sample?",,,,No additional information given,No additional information given,No additional information given,No additional information given,Potential burrow material included with rest of sample,,,,,,,,
Animal_burrow_(Y/N),N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,?,N,Y,Y,N,N,N,N,N
